line	trial	thousand_kernel_weight
'TRANSELVANIA1'	GRINcore_2009_Lab_Aberdeen	50.9
'BLUEBIRD_S|PI519356'	GRINcore_2009_Lab_Aberdeen	41.2
'BLUEBIRD_S|PI519357'	GRINcore_2009_Lab_Aberdeen	27.2
'L935-4L-1AP-0AP-2K-0AP'	GRINcore_2009_Lab_Aberdeen	39.9
'L489-1AP-0AP-4K-0AP'	GRINcore_2009_Lab_Aberdeen	41.7
'III-100-2T.5B-2T-1B-2T'	GRINcore_2009_Lab_Aberdeen	43.9
'II-13831-3J-3J-2J-3L-L-J-1CZ'	GRINcore_2009_Lab_Aberdeen	41.3
'II-11613-6N-1E-2N-2E-12-1E'	GRINcore_2009_Lab_Aberdeen	38.4
'VI-36-2-30B-3T-2B-2T'	GRINcore_2009_Lab_Aberdeen	29.8
'III-100-14B-1T-2B'	GRINcore_2009_Lab_Aberdeen	38.6
'VI.106-5B-2T-1B-1T-1B'	GRINcore_2009_Lab_Aberdeen	31.2
'II-4273-1L-2L-1J-5CZ-1CZ'	GRINcore_2009_Lab_Aberdeen	40.2
'SA79003-9-2'	GRINcore_2009_Lab_Aberdeen	31.1
'12584-8B-2T-3B1T'	GRINcore_2009_Lab_Aberdeen	43.5
'TP250-2'	GRINcore_2009_Lab_Aberdeen	42.2
'13895-5T-1B-1T'	GRINcore_2009_Lab_Aberdeen	35.5
'VI121.2.13B.2T.2B'	GRINcore_2009_Lab_Aberdeen	29.9
'L1360-3838'	GRINcore_2009_Lab_Aberdeen	35.1
'ND71-12-111'	GRINcore_2009_Lab_Aberdeen	37.2
'CH-7790-12P-9P-1P-1P'	GRINcore_2009_Lab_Aberdeen	35.4
'A5292-23P-1P-1P'	GRINcore_2009_Lab_Aberdeen	33.5
'8363-1B-1T-3B'	GRINcore_2009_Lab_Aberdeen	34.9
'VI-91-2-2-25B-6T-1B'	GRINcore_2009_Lab_Aberdeen	34
'18848-2E-2E-13-2E'	GRINcore_2009_Lab_Aberdeen	39.6
'R100171-78'	GRINcore_2009_Lab_Aberdeen	47.8
'FROHBERG12-107'	GRINcore_2009_Lab_Aberdeen	35.9
'A4849-60P-7P-1P'	GRINcore_2009_Lab_Aberdeen	40.3
'A4920-52P-2P-2P'	GRINcore_2009_Lab_Aberdeen	31.3
'K235-18'	GRINcore_2009_Lab_Aberdeen	46
'LM72-14-75'	GRINcore_2009_Lab_Aberdeen	41.9
'KENYA4573L.3.D.2'	GRINcore_2009_Lab_Aberdeen	38.3
'30409-44R-1M-3Y-OM'	GRINcore_2009_Lab_Aberdeen	32.1
'QP330-1C-1C-1C-1C'	GRINcore_2009_Lab_Aberdeen	41.6
'PF79790'	GRINcore_2009_Lab_Aberdeen	35.6
'LE2096'	GRINcore_2009_Lab_Aberdeen	32.1
'LE2070'	GRINcore_2009_Lab_Aberdeen	38.6
'F8-4'	GRINcore_2009_Lab_Aberdeen	35.4
'W5865-2-M-3-LM'	GRINcore_2009_Lab_Aberdeen	37.2
'W5672-3-M-6-TM'	GRINcore_2009_Lab_Aberdeen	43
'W5885-2-M-1-LM'	GRINcore_2009_Lab_Aberdeen	39.1
'CHAT_S'	GRINcore_2009_Lab_Aberdeen	39.2
'M1169-1-49-164'	GRINcore_2009_Lab_Aberdeen	34.6
'MAGPIE_S'	GRINcore_2009_Lab_Aberdeen	42.2
'T4371-28T-1T-2T'	GRINcore_2009_Lab_Aberdeen	24.8
'KENYA4135-H3D5'	GRINcore_2009_Lab_Aberdeen	33
'SWM1429-3L-OKE'	GRINcore_2009_Lab_Aberdeen	37.3
'SE424-5S-2S-0S'	GRINcore_2009_Lab_Aberdeen	38.6
'CUMHURIYET75'	GRINcore_2009_Lab_Aberdeen	51.5
'HD2171'	GRINcore_2009_Lab_Aberdeen	36.8
'T5426-M-(B)-1-W1-CM'	GRINcore_2009_Lab_Aberdeen	36.9
'SWN2984-M-1Y-1M-2Y-0M-0MN'	GRINcore_2009_Lab_Aberdeen	41
'RP5678-M1-M9-RP12-TM'	GRINcore_2009_Lab_Aberdeen	37.7
'WA6510'	GRINcore_2009_Lab_Aberdeen	38.7
'ND598'	GRINcore_2009_Lab_Aberdeen	41
'CEP75336'	GRINcore_2009_Lab_Aberdeen	39
'PARULA__S'	GRINcore_2009_Lab_Aberdeen	39.4
'ND587'	GRINcore_2009_Lab_Aberdeen	37
'HAHN_S'	GRINcore_2009_Lab_Aberdeen	40.4
'CM6943-5L-1L-OAP'	GRINcore_2009_Lab_Aberdeen	39.6
'CODE70-133'	GRINcore_2009_Lab_Aberdeen	34.4
'CM2281-13M-1Y-3M-1Y-1M-OY'	GRINcore_2009_Lab_Aberdeen	45
'CM23091-1M-2Y-OY'	GRINcore_2009_Lab_Aberdeen	42.6
'CM7723-500M-500Y-OM-500M-OY'	GRINcore_2009_Lab_Aberdeen	41.8
'SE381-4S-1S-6S-OS'	GRINcore_2009_Lab_Aberdeen	47.4
'ALG63-10BK-0BJ'	GRINcore_2009_Lab_Aberdeen	47.9
'CM15683-2S-13S-OS'	GRINcore_2009_Lab_Aberdeen	41.8
'CM26599-2T-1Y-1M-1Y-OAP'	GRINcore_2009_Lab_Aberdeen	42.2
'CM7806-15M-2Y-2M-1Y-OY'	GRINcore_2009_Lab_Aberdeen	42
'CM32973-2AP-3AP-OAP'	GRINcore_2009_Lab_Aberdeen	37.8
'CM32285-3S-4AP-OAP'	GRINcore_2009_Lab_Aberdeen	37.1
'L17-7S-7S-4AP-0AP'	GRINcore_2009_Lab_Aberdeen	41.7
'JACUI'	GRINcore_2009_Lab_Aberdeen	44.3
'PF83491'	GRINcore_2009_Lab_Aberdeen	35.9
'BOBWHITE_S|PI520552'	GRINcore_2009_Lab_Aberdeen	37.8
'BOBWHITE_S|PI520557'	GRINcore_2009_Lab_Aberdeen	39.2
'ID779-11'	GRINcore_2009_Lab_Aberdeen	50.7
'1018B'	GRINcore_2009_Lab_Aberdeen	43.6
'1018D'	GRINcore_2009_Lab_Aberdeen	41.8
'1035D'	GRINcore_2009_Lab_Aberdeen	39.8
'1054A'	GRINcore_2009_Lab_Aberdeen	44.8
'1120'	GRINcore_2009_Lab_Aberdeen	43.4
'1127'	GRINcore_2009_Lab_Aberdeen	49.3
'1130'	GRINcore_2009_Lab_Aberdeen	47.6
'1137|PI525283'	GRINcore_2009_Lab_Aberdeen	43.1
'1139'	GRINcore_2009_Lab_Aberdeen	43.8
'1162'	GRINcore_2009_Lab_Aberdeen	40.8
'1254'	GRINcore_2009_Lab_Aberdeen	45.9
'1278'	GRINcore_2009_Lab_Aberdeen	40.9
'1359'	GRINcore_2009_Lab_Aberdeen	49.5
'1083C'	GRINcore_2009_Lab_Aberdeen	30.6
'1134'	GRINcore_2009_Lab_Aberdeen	55.6
'1198A'	GRINcore_2009_Lab_Aberdeen	52.3
'KAMMAH|PI527449'	GRINcore_2009_Lab_Aberdeen	36
'KAMMAH|PI527451'	GRINcore_2009_Lab_Aberdeen	37.5
'KEN_GUI_AR1'	GRINcore_2009_Lab_Aberdeen	41
'1014'	GRINcore_2009_Lab_Aberdeen	41.9
'1245'	GRINcore_2009_Lab_Aberdeen	43.9
'2137'	GRINcore_2009_Lab_Aberdeen	39.9
'2355'	GRINcore_2009_Lab_Aberdeen	42.2
'2763'	GRINcore_2009_Lab_Aberdeen	43.1
'7005'	GRINcore_2009_Lab_Aberdeen	32.5
'GREDHA'	GRINcore_2009_Lab_Aberdeen	30.1
'HAMIRA|PI532258'	GRINcore_2009_Lab_Aberdeen	32.4
'MUSANE|PI532263'	GRINcore_2009_Lab_Aberdeen	37.5
'MUSANE|PI532268'	GRINcore_2009_Lab_Aberdeen	34.8
'SARIYA|PI532277'	GRINcore_2009_Lab_Aberdeen	34.1
'KULE|PI532278'	GRINcore_2009_Lab_Aberdeen	41.2
'MUSANE|PI532280'	GRINcore_2009_Lab_Aberdeen	39.9
'SARIYA|PI532283'	GRINcore_2009_Lab_Aberdeen	35.3
'SALUTA'	GRINcore_2009_Lab_Aberdeen	27.9
'SHALLOT'	GRINcore_2009_Lab_Aberdeen	42.3
'MUSANE|PI532296'	GRINcore_2009_Lab_Aberdeen	35.6
'M82-3419'	GRINcore_2009_Lab_Aberdeen	36.3
'TUCURSINDI'	GRINcore_2009_Lab_Aberdeen	44.9
'MG07759'	GRINcore_2009_Lab_Aberdeen	46.1
'SINDI|PI534323'	GRINcore_2009_Lab_Aberdeen	36.1
'FLORYHUR'	GRINcore_2009_Lab_Aberdeen	47.1
'MG18140'	GRINcore_2009_Lab_Aberdeen	41
'FLORXAURORE'	GRINcore_2009_Lab_Aberdeen	36.5
'MG18179'	GRINcore_2009_Lab_Aberdeen	48.7
'MG18210'	GRINcore_2009_Lab_Aberdeen	55.4
'AJANTHA'	GRINcore_2009_Lab_Aberdeen	44.6
'H82-710-1'	GRINcore_2009_Lab_Aberdeen	43.8
'ERPATAKI'	GRINcore_2009_Lab_Aberdeen	39.4
'LRS-1F193'	GRINcore_2009_Lab_Aberdeen	28.2
'KM600-3-90'	GRINcore_2009_Lab_Aberdeen	41.5
'KM618-2-90'	GRINcore_2009_Lab_Aberdeen	46.1
'KM695-1-90'	GRINcore_2009_Lab_Aberdeen	43.7
'KM708-90'	GRINcore_2009_Lab_Aberdeen	45.8
'KM741-90'	GRINcore_2009_Lab_Aberdeen	40.8
'PROHIBITION'	GRINcore_2009_Lab_Aberdeen	38.5
'HAR_KOVSKAJA11'	GRINcore_2009_Lab_Aberdeen	43.5
'ZOLOTAJA_NIVA'	GRINcore_2009_Lab_Aberdeen	39.6
'LUTESCENS321'	GRINcore_2009_Lab_Aberdeen	38.4
'MASLOVCANKA100'	GRINcore_2009_Lab_Aberdeen	45.1
'AL_BORUBRUM_B-21'	GRINcore_2009_Lab_Aberdeen	35.3
'KAZAHSTANSKAJA7'	GRINcore_2009_Lab_Aberdeen	41.5
'RANJAJA73'	GRINcore_2009_Lab_Aberdeen	45.1
'BOGARNAJA56'	GRINcore_2009_Lab_Aberdeen	40
'HW7045/88'	GRINcore_2009_Lab_Aberdeen	43.3
'AW6635A/86'	GRINcore_2009_Lab_Aberdeen	37.9
'EA9'	GRINcore_2009_Lab_Aberdeen	56.1
'KM719-92'	GRINcore_2009_Lab_Aberdeen	41.4
'2262-12'	GRINcore_2009_Lab_Aberdeen	39.8
'84TK046-118.1'	GRINcore_2009_Lab_Aberdeen	43.2
'MG17983'	GRINcore_2009_Lab_Aberdeen	38.9
'JACVI'	GRINcore_2009_Lab_Aberdeen	43.4
'LIVIA'	GRINcore_2009_Lab_Aberdeen	47.7
'ZDAR'	GRINcore_2009_Lab_Aberdeen	47.4
'OFAIE'	GRINcore_2009_Lab_Aberdeen	42.4
'AW6626/88'	GRINcore_2009_Lab_Aberdeen	37.1
'15007'	GRINcore_2009_Lab_Aberdeen	45.3
'15063'	GRINcore_2009_Lab_Aberdeen	37.5
'15085'	GRINcore_2009_Lab_Aberdeen	33.7
'MAGNIF_GUARANI_MAG'	GRINcore_2009_Lab_Aberdeen	35.9
'VILELA_MAR'	GRINcore_2009_Lab_Aberdeen	36.9
'1075'	GRINcore_2009_Lab_Aberdeen	33.5
'1076'	GRINcore_2009_Lab_Aberdeen	41.5
'1113'	GRINcore_2009_Lab_Aberdeen	29
'FERRUGINEUM38'	GRINcore_2009_Lab_Aberdeen	38.6
'HAR_KOVSKAJA69'	GRINcore_2009_Lab_Aberdeen	52.8
'LESOSTEPKA76'	GRINcore_2009_Lab_Aberdeen	47.3
'PIROTRIKS50'	GRINcore_2009_Lab_Aberdeen	48
'ARTASHATI42'	GRINcore_2009_Lab_Aberdeen	53
'AW6637C/86'	GRINcore_2009_Lab_Aberdeen	44.3
'HW6554/86'	GRINcore_2009_Lab_Aberdeen	38.5
'TUGELA-DN'	GRINcore_2009_Lab_Aberdeen	46.4
'SST124'	GRINcore_2009_Lab_Aberdeen	38.8
'DONSKAJA_POLUKARLIKOVAJA'	GRINcore_2009_Lab_Aberdeen	53.9
'YUGTINA'	GRINcore_2009_Lab_Aberdeen	44.1
'HONG_MANG_MAI'	GRINcore_2009_Lab_Aberdeen	35.8
'TULUNSKAJA10'	GRINcore_2009_Lab_Aberdeen	32
'SPARTANKA'	GRINcore_2009_Lab_Aberdeen	45.4
'ZERNOGRADKA8'	GRINcore_2009_Lab_Aberdeen	40.9
'YUZHNAYA12'	GRINcore_2009_Lab_Aberdeen	35.4
'RIBAND'	GRINcore_2009_Lab_Aberdeen	44.9
'TWYFORD71'	GRINcore_2009_Lab_Aberdeen	44.8
'TAXI'	GRINcore_2009_Lab_Aberdeen	47.8
'HBE0363-134'	GRINcore_2009_Lab_Aberdeen	39.9
'HBF0290-146'	GRINcore_2009_Lab_Aberdeen	40.7
'HBF0302-148'	GRINcore_2009_Lab_Aberdeen	41.8
'VBF0223-107'	GRINcore_2009_Lab_Aberdeen	41.4
'HBF0214-126'	GRINcore_2009_Lab_Aberdeen	40.1
'HBF0303-155'	GRINcore_2009_Lab_Aberdeen	43.4
'HBF0302-154'	GRINcore_2009_Lab_Aberdeen	42.3
'HBF0303-152'	GRINcore_2009_Lab_Aberdeen	42.7
'NE91651'	GRINcore_2009_Lab_Aberdeen	21.5
'CODA'	GRINcore_2009_Lab_Aberdeen	33.7
'HUTCH'	GRINcore_2009_Lab_Aberdeen	34.1
'KS95WGRC33'	GRINcore_2009_Lab_Aberdeen	39.6
'8644-057-I'	GRINcore_2009_Lab_Aberdeen	36.8
'8916-CG09-I'	GRINcore_2009_Lab_Aberdeen	40.7
'TX92D7374'	GRINcore_2009_Lab_Aberdeen	36.2
'P8921-Q4C5'	GRINcore_2009_Lab_Aberdeen	36.2
'5232'	GRINcore_2009_Lab_Aberdeen	41
'94L10157'	GRINcore_2009_Lab_Aberdeen	31.6
'IVORY'	GRINcore_2009_Lab_Aberdeen	37.8
'DK-22S'	GRINcore_2009_Lab_Aberdeen	33.7
'BRAWNY'	GRINcore_2009_Lab_Aberdeen	43.6
'PR2360'	GRINcore_2009_Lab_Aberdeen	38.6
'TUT'	GRINcore_2009_Lab_Aberdeen	39.2
'APEX83'	GRINcore_2009_Lab_Aberdeen	46.7
'HIPRO'	GRINcore_2009_Lab_Aberdeen	49.3
'ELS6404-75-4'	GRINcore_2009_Lab_Aberdeen	46
'ELS6404-9-A'	GRINcore_2009_Lab_Aberdeen	36.9
'97ARS686'	GRINcore_2009_Lab_Aberdeen	27.3
'97ARS691'	GRINcore_2009_Lab_Aberdeen	29.1
'97ARS697'	GRINcore_2009_Lab_Aberdeen	29.1
'UCRBW98-2'	GRINcore_2009_Lab_Aberdeen	39.9
'SAMARA'	GRINcore_2009_Lab_Aberdeen	47.5
'15049'	GRINcore_2009_Lab_Aberdeen	37.6
'N95L1229'	GRINcore_2009_Lab_Aberdeen	34.5
'FAO29.913'	GRINcore_2009_Lab_Aberdeen	34.5
'ARS93281'	GRINcore_2009_Lab_Aberdeen	35
'CIGM90.483'	GRINcore_2009_Lab_Aberdeen	35.5
'ZHAO_SHUI52'	GRINcore_2009_Lab_Aberdeen	40.2
'CIGM91.345-3'	GRINcore_2009_Lab_Aberdeen	36.3
'CIGM91.345-5'	GRINcore_2009_Lab_Aberdeen	37.1
'CIGM91.344-1'	GRINcore_2009_Lab_Aberdeen	35.6
'CIGM91.61-1'	GRINcore_2009_Lab_Aberdeen	43.8
'CIGM90.248-1'	GRINcore_2009_Lab_Aberdeen	37.1
'CIGM90.412'	GRINcore_2009_Lab_Aberdeen	41.6
'CIGM90.1291'	GRINcore_2009_Lab_Aberdeen	33.8
'CIGM98.748-1'	GRINcore_2009_Lab_Aberdeen	28.7
'CIGM98.759-1'	GRINcore_2009_Lab_Aberdeen	32.9
'CIGM98.762-2'	GRINcore_2009_Lab_Aberdeen	36.5
'CIGM98.750-1'	GRINcore_2009_Lab_Aberdeen	34.9
'CIGM98.752-1'	GRINcore_2009_Lab_Aberdeen	31.3
'KER_YI26'	GRINcore_2009_Lab_Aberdeen	49.8
'RCAT000409'	GRINcore_2009_Lab_Aberdeen	42.8
'RCAT000491'	GRINcore_2009_Lab_Aberdeen	42.9
'RCAT003313'	GRINcore_2009_Lab_Aberdeen	47.2
'RCAT003418'	GRINcore_2009_Lab_Aberdeen	37.7
'RCAT003784'	GRINcore_2009_Lab_Aberdeen	40.9
'RCAT004555'	GRINcore_2009_Lab_Aberdeen	41.8
'96ARS1068'	GRINcore_2009_Lab_Aberdeen	35.7
'96ARS1069'	GRINcore_2009_Lab_Aberdeen	33.6
'97ARS148'	GRINcore_2009_Lab_Aberdeen	22.1
'97ARS136'	GRINcore_2009_Lab_Aberdeen	27.1
'97ARS210'	GRINcore_2009_Lab_Aberdeen	30.8
'99ID484'	GRINcore_2009_Lab_Aberdeen	37
'99ID536'	GRINcore_2009_Lab_Aberdeen	32.8
'NWX008075'	GRINcore_2009_Lab_Aberdeen	38.1
'NWX008094'	GRINcore_2009_Lab_Aberdeen	34.4
'IDO580'	GRINcore_2009_Lab_Aberdeen	31.4
'910102'	GRINcore_2009_Lab_Aberdeen	46.4
'3870552'	GRINcore_2009_Lab_Aberdeen	46.5
'908237'	GRINcore_2009_Lab_Aberdeen	46.7
'899407'	GRINcore_2009_Lab_Aberdeen	41.8
'910379'	GRINcore_2009_Lab_Aberdeen	37.1
'3870634'	GRINcore_2009_Lab_Aberdeen	37.1
'3930257'	GRINcore_2009_Lab_Aberdeen	44
'3920068'	GRINcore_2009_Lab_Aberdeen	35.2
'900192'	GRINcore_2009_Lab_Aberdeen	37.3
'908164'	GRINcore_2009_Lab_Aberdeen	42.8
'OR9630062'	GRINcore_2009_Lab_Aberdeen	44.8
'OR9630064'	GRINcore_2009_Lab_Aberdeen	44.2
'940099'	GRINcore_2009_Lab_Aberdeen	49.5
'943075'	GRINcore_2009_Lab_Aberdeen	47.8
'SEG95-997'	GRINcore_2009_Lab_Aberdeen	46.1
'SEG951104'	GRINcore_2009_Lab_Aberdeen	46
'908127'	GRINcore_2009_Lab_Aberdeen	46.1
'910231'	GRINcore_2009_Lab_Aberdeen	45.3
'920070'	GRINcore_2009_Lab_Aberdeen	48
'IWA8606156'	GRINcore_2009_Lab_Aberdeen	50.1
'IWA8606160'	GRINcore_2009_Lab_Aberdeen	55.2
'IWA8606199'	GRINcore_2009_Lab_Aberdeen	46.4
'IWA8606227'	GRINcore_2009_Lab_Aberdeen	50
'IWA8606408'	GRINcore_2009_Lab_Aberdeen	50.7
'IWA8606417'	GRINcore_2009_Lab_Aberdeen	46.6
'IWA8606422'	GRINcore_2009_Lab_Aberdeen	46.9
'IWA8606514'	GRINcore_2009_Lab_Aberdeen	54
'IWA8606535'	GRINcore_2009_Lab_Aberdeen	44.9
'IWA8606550'	GRINcore_2009_Lab_Aberdeen	50.8
'IWA8606553'	GRINcore_2009_Lab_Aberdeen	52
'IWA8606565'	GRINcore_2009_Lab_Aberdeen	52.3
'IWA8606593'	GRINcore_2009_Lab_Aberdeen	46.7
'IWA8606600'	GRINcore_2009_Lab_Aberdeen	53.8
'IWA8606683'	GRINcore_2009_Lab_Aberdeen	49.7
'IWA8606752'	GRINcore_2009_Lab_Aberdeen	54.5
'IWA8606779'	GRINcore_2009_Lab_Aberdeen	48.4
'IWA8606811'	GRINcore_2009_Lab_Aberdeen	49.3
'IWA8606816'	GRINcore_2009_Lab_Aberdeen	49.8
'IWA8606856'	GRINcore_2009_Lab_Aberdeen	54.4
'IWA8606929'	GRINcore_2009_Lab_Aberdeen	50.2
'IWA8607005'	GRINcore_2009_Lab_Aberdeen	42.6
'IWA8607008'	GRINcore_2009_Lab_Aberdeen	47.8
'IWA8607024'	GRINcore_2009_Lab_Aberdeen	45.1
'IWA8607034'	GRINcore_2009_Lab_Aberdeen	47.5
'IWA8607051'	GRINcore_2009_Lab_Aberdeen	41.7
'IWA8607058'	GRINcore_2009_Lab_Aberdeen	50
'IWA8607064'	GRINcore_2009_Lab_Aberdeen	51.6
'IWA8607130'	GRINcore_2009_Lab_Aberdeen	49.6
'IWA8607146'	GRINcore_2009_Lab_Aberdeen	50.4
'IWA8607148'	GRINcore_2009_Lab_Aberdeen	46.6
'IWA8607162'	GRINcore_2009_Lab_Aberdeen	49.5
'IWA8607165'	GRINcore_2009_Lab_Aberdeen	51
'IWA8607175'	GRINcore_2009_Lab_Aberdeen	50
'IWA8607200'	GRINcore_2009_Lab_Aberdeen	43.9
'IWA8607361'	GRINcore_2009_Lab_Aberdeen	58.7
'IWA8607560'	GRINcore_2009_Lab_Aberdeen	49
'IWA8607648'	GRINcore_2009_Lab_Aberdeen	53.9
'IWA8607810'	GRINcore_2009_Lab_Aberdeen	58.9
'IWA8607811'	GRINcore_2009_Lab_Aberdeen	46.5
'IWA8607813'	GRINcore_2009_Lab_Aberdeen	51.4
'IWA8607900'	GRINcore_2009_Lab_Aberdeen	57.9
'IWA8607941'	GRINcore_2009_Lab_Aberdeen	57.8
'IWA8608044'	GRINcore_2009_Lab_Aberdeen	50
'IWA8608128'	GRINcore_2009_Lab_Aberdeen	54.2
'IWA8608134'	GRINcore_2009_Lab_Aberdeen	46.3
'IWA8608144'	GRINcore_2009_Lab_Aberdeen	49
'IWA8608194'	GRINcore_2009_Lab_Aberdeen	49.6
'IWA8608214'	GRINcore_2009_Lab_Aberdeen	55.6
'IWA8608231'	GRINcore_2009_Lab_Aberdeen	57.1
'IWA8608391'	GRINcore_2009_Lab_Aberdeen	50.2
'IWA8608568'	GRINcore_2009_Lab_Aberdeen	26.1
'IWA8608595'	GRINcore_2009_Lab_Aberdeen	56.9
'IWA8608614'	GRINcore_2009_Lab_Aberdeen	52.1
'IWA8608626'	GRINcore_2009_Lab_Aberdeen	61
'IWA8608652'	GRINcore_2009_Lab_Aberdeen	60.2
'IWA8608958'	GRINcore_2009_Lab_Aberdeen	56.5
'IWA8609116'	GRINcore_2009_Lab_Aberdeen	55.4
'IWA8609149'	GRINcore_2009_Lab_Aberdeen	65.7
'IWA8609160'	GRINcore_2009_Lab_Aberdeen	56.3
'IWA8609163'	GRINcore_2009_Lab_Aberdeen	52.9
'IWA8609181'	GRINcore_2009_Lab_Aberdeen	55.9
'IWA8609182'	GRINcore_2009_Lab_Aberdeen	56.8
'IWA8609184'	GRINcore_2009_Lab_Aberdeen	55
'IWA8609189'	GRINcore_2009_Lab_Aberdeen	53.4
'IWA8609190'	GRINcore_2009_Lab_Aberdeen	49.9
'IWA8609222'	GRINcore_2009_Lab_Aberdeen	27.3
'IWA8609232'	GRINcore_2009_Lab_Aberdeen	52.8
'IWA8609238'	GRINcore_2009_Lab_Aberdeen	57.4
'IWA8609329'	GRINcore_2009_Lab_Aberdeen	56.6
'IWA8609348'	GRINcore_2009_Lab_Aberdeen	54.5
'IWA8609351'	GRINcore_2009_Lab_Aberdeen	54.8
'IWA8609352'	GRINcore_2009_Lab_Aberdeen	53.2
'IWA8609354'	GRINcore_2009_Lab_Aberdeen	55.7
'IWA8609376'	GRINcore_2009_Lab_Aberdeen	65.4
'IWA8609421'	GRINcore_2009_Lab_Aberdeen	53.7
'IWA8609543'	GRINcore_2009_Lab_Aberdeen	46.3
'IWA8609673'	GRINcore_2009_Lab_Aberdeen	40.7
'IWA8609676'	GRINcore_2009_Lab_Aberdeen	45.9
'IWA8609685'	GRINcore_2009_Lab_Aberdeen	47.9
'IWA8609690'	GRINcore_2009_Lab_Aberdeen	51
'IWA8609910'	GRINcore_2009_Lab_Aberdeen	51.1
'IWA8609929'	GRINcore_2009_Lab_Aberdeen	48
'IWA8609948'	GRINcore_2009_Lab_Aberdeen	50
'IWA8609962'	GRINcore_2009_Lab_Aberdeen	50.9
'IWA8610025'	GRINcore_2009_Lab_Aberdeen	45.1
'IWA8610027'	GRINcore_2009_Lab_Aberdeen	58.5
'IWA8610035'	GRINcore_2009_Lab_Aberdeen	45.1
'IWA8610093'	GRINcore_2009_Lab_Aberdeen	51.1
'IWA8610162'	GRINcore_2009_Lab_Aberdeen	45
'IWA8610164'	GRINcore_2009_Lab_Aberdeen	54.6
'IWA8610166'	GRINcore_2009_Lab_Aberdeen	49.6
'IWA8610198'	GRINcore_2009_Lab_Aberdeen	50.1
'IWA8610226'	GRINcore_2009_Lab_Aberdeen	54.2
'IWA8610266'	GRINcore_2009_Lab_Aberdeen	54.8
'IWA8610290'	GRINcore_2009_Lab_Aberdeen	53.7
'IWA8610313'	GRINcore_2009_Lab_Aberdeen	44.1
'IWA8610355'	GRINcore_2009_Lab_Aberdeen	52.4
'IWA8610388'	GRINcore_2009_Lab_Aberdeen	44.7
'IWA8610418'	GRINcore_2009_Lab_Aberdeen	53.3
'IWA8610423'	GRINcore_2009_Lab_Aberdeen	47.2
'IWA8610467'	GRINcore_2009_Lab_Aberdeen	49.5
'IWA8610471'	GRINcore_2009_Lab_Aberdeen	49.1
'IWA8610493'	GRINcore_2009_Lab_Aberdeen	48.3
'IWA8610508'	GRINcore_2009_Lab_Aberdeen	41.6
'IWA8610512'	GRINcore_2009_Lab_Aberdeen	23.5
'IWA8610600'	GRINcore_2009_Lab_Aberdeen	48.5
'IWA8610620'	GRINcore_2009_Lab_Aberdeen	53.4
'IWA8610634'	GRINcore_2009_Lab_Aberdeen	29.2
'IWA8610679'	GRINcore_2009_Lab_Aberdeen	27
'IWA8610837'	GRINcore_2009_Lab_Aberdeen	68.6
'IWA8610838'	GRINcore_2009_Lab_Aberdeen	53.4
'IWA8610875'	GRINcore_2009_Lab_Aberdeen	54.2
'IWA8610899'	GRINcore_2009_Lab_Aberdeen	49.3
'IWA8610946'	GRINcore_2009_Lab_Aberdeen	31.5
'IWA8610954'	GRINcore_2009_Lab_Aberdeen	29.2
'IWA8610961'	GRINcore_2009_Lab_Aberdeen	28.5
'IWA8610967'	GRINcore_2009_Lab_Aberdeen	49.1
'IWA8611008'	GRINcore_2009_Lab_Aberdeen	51.9
'IWA8611054'	GRINcore_2009_Lab_Aberdeen	53.2
'IWA8611063'	GRINcore_2009_Lab_Aberdeen	66.5
'IWA8611070'	GRINcore_2009_Lab_Aberdeen	50
'IWA8611084'	GRINcore_2009_Lab_Aberdeen	45.5
'IWA8611158'	GRINcore_2009_Lab_Aberdeen	44
'IWA8611195'	GRINcore_2009_Lab_Aberdeen	43.9
'IWA8611217'	GRINcore_2009_Lab_Aberdeen	50.2
'IWA8611218'	GRINcore_2009_Lab_Aberdeen	49.7
'IWA8611223'	GRINcore_2009_Lab_Aberdeen	55.8
'IWA8611259'	GRINcore_2009_Lab_Aberdeen	65.4
'IWA8611284'	GRINcore_2009_Lab_Aberdeen	51.9
'IWA8611357'	GRINcore_2009_Lab_Aberdeen	57.2
'IWA8611405'	GRINcore_2009_Lab_Aberdeen	39.7
'IWA8611417'	GRINcore_2009_Lab_Aberdeen	55
'IWA8611421'	GRINcore_2009_Lab_Aberdeen	46.8
'IWA8611422'	GRINcore_2009_Lab_Aberdeen	51.3
'IWA8611663'	GRINcore_2009_Lab_Aberdeen	41.8
'IWA8611774'	GRINcore_2009_Lab_Aberdeen	47.1
'IWA8611865'	GRINcore_2009_Lab_Aberdeen	58.5
'IWA8611876'	GRINcore_2009_Lab_Aberdeen	41.2
'IWA8611883'	GRINcore_2009_Lab_Aberdeen	51.2
'IWA8611905'	GRINcore_2009_Lab_Aberdeen	55
'IWA8611924'	GRINcore_2009_Lab_Aberdeen	51.9
'IWA8611926'	GRINcore_2009_Lab_Aberdeen	47.1
'IWA8611938'	GRINcore_2009_Lab_Aberdeen	42.5
'IWA8611979'	GRINcore_2009_Lab_Aberdeen	43.6
'IWA8611990'	GRINcore_2009_Lab_Aberdeen	45.9
'IWA8612001'	GRINcore_2009_Lab_Aberdeen	45.2
'IWA8612008'	GRINcore_2009_Lab_Aberdeen	44.5
