line	trial	thousand_kernel_weight
'MOCHO|PI565209'	GRINcore_2009_Lab_Aberdeen	41.8
'FLORENTINO|PI565213'	GRINcore_2009_Lab_Aberdeen	40
'TRIGO|PI565221'	GRINcore_2009_Lab_Aberdeen	43.7
'GABO|PI565222'	GRINcore_2009_Lab_Aberdeen	45.8
'AUSTRALIANO'	GRINcore_2009_Lab_Aberdeen	44.3
'FLORENTINO|PI565226'	GRINcore_2009_Lab_Aberdeen	46.4
'FLORENTINO|PI565228'	GRINcore_2009_Lab_Aberdeen	44
'AMERICANO'	GRINcore_2009_Lab_Aberdeen	44.8
'TRIGO_AUSTRALIANO'	GRINcore_2009_Lab_Aberdeen	47.7
'JARAL'	GRINcore_2009_Lab_Aberdeen	34.7
'QUIMORA'	GRINcore_2009_Lab_Aberdeen	45
'TRIGO|PI565240'	GRINcore_2009_Lab_Aberdeen	37.5
'SAGUAYO'	GRINcore_2009_Lab_Aberdeen	45.5
'CRIOLLO|PI565245'	GRINcore_2009_Lab_Aberdeen	48
'CRIOLLO|PI565246'	GRINcore_2009_Lab_Aberdeen	47.6
'FLORENTINO|PI565249'	GRINcore_2009_Lab_Aberdeen	47.6
'KHUMPU'	GRINcore_2009_Lab_Aberdeen	42.8
'FLORENTINO|PI565255'	GRINcore_2009_Lab_Aberdeen	48.3
'PERLA'	GRINcore_2009_Lab_Aberdeen	41.8
'PLISKA'	GRINcore_2009_Lab_Aberdeen	42.3
'AHELOI'	GRINcore_2009_Lab_Aberdeen	44.4
'TOSHEVKA'	GRINcore_2009_Lab_Aberdeen	49.7
'KZYL_BUGDAI'	GRINcore_2009_Lab_Aberdeen	54.2
'BUHARA_BUGDAI|PI565353'	GRINcore_2009_Lab_Aberdeen	42.4
'BUHARA_BUGDAI|PI565355'	GRINcore_2009_Lab_Aberdeen	40
'KUSARY'	GRINcore_2009_Lab_Aberdeen	37.5
'TEREMAI_BUGDAI'	GRINcore_2009_Lab_Aberdeen	34.5
'BEARDED_WINTER'	GRINcore_2009_Lab_Aberdeen	41.9
'WIR26382'	GRINcore_2009_Lab_Aberdeen	36.3
'KUZGIU_BUGDAI'	GRINcore_2009_Lab_Aberdeen	45.1
'GUZLYK'	GRINcore_2009_Lab_Aberdeen	42.4
'NOVOKRYMKA1-90'	GRINcore_2009_Lab_Aberdeen	38.4
'GULISAR'	GRINcore_2009_Lab_Aberdeen	42
'TADZYKSKAJA13'	GRINcore_2009_Lab_Aberdeen	41.5
'LINIJA125'	GRINcore_2009_Lab_Aberdeen	48.9
'TEDZENSKAJA60'	GRINcore_2009_Lab_Aberdeen	39.8
'KAZAHSTANSKAJA4'	GRINcore_2009_Lab_Aberdeen	48.7
'URAL_SKAJA_JUBILEJNAJA'	GRINcore_2009_Lab_Aberdeen	42.5
'SALJUT'	GRINcore_2009_Lab_Aberdeen	52.9
'MIL_TURUM1'	GRINcore_2009_Lab_Aberdeen	44.7
'DIURDANA'	GRINcore_2009_Lab_Aberdeen	35.1
'ARZU'	GRINcore_2009_Lab_Aberdeen	55.7
'KANGUN20'	GRINcore_2009_Lab_Aberdeen	56.8
'GALLIAARAL_SKAJA3'	GRINcore_2009_Lab_Aberdeen	53.5
'CEZIUM88'	GRINcore_2009_Lab_Aberdeen	43.4
'GREKUM3'	GRINcore_2009_Lab_Aberdeen	38.9
'AW6637A/87'	GRINcore_2009_Lab_Aberdeen	37.1
'AW6633A/85'	GRINcore_2009_Lab_Aberdeen	38
'HW6558/85'	GRINcore_2009_Lab_Aberdeen	37.6
'HW7033/88'	GRINcore_2009_Lab_Aberdeen	45.7
'HW7038/88'	GRINcore_2009_Lab_Aberdeen	40.9
'AW7040/90'	GRINcore_2009_Lab_Aberdeen	38.6
'AW7041/87'	GRINcore_2009_Lab_Aberdeen	30.6
'HW7042/88'	GRINcore_2009_Lab_Aberdeen	48.8
'HW7199/90'	GRINcore_2009_Lab_Aberdeen	42.7
'AW7200/90'	GRINcore_2009_Lab_Aberdeen	39.9
'SHRIKE'	GRINcore_2009_Lab_Aberdeen	43.1
'I-906'	GRINcore_2009_Lab_Aberdeen	50.8
'CHAPINGO_VF74'	GRINcore_2009_Lab_Aberdeen	49.5
'86PK1281-001.02'	GRINcore_2009_Lab_Aberdeen	39.5
'86PK1288-001.03'	GRINcore_2009_Lab_Aberdeen	33.8
'86PK1288-001.04'	GRINcore_2009_Lab_Aberdeen	34.5
'86PK1308-001.07'	GRINcore_2009_Lab_Aberdeen	38
'86PK1308-001.12'	GRINcore_2009_Lab_Aberdeen	37.8
'86PK1311-001.02'	GRINcore_2009_Lab_Aberdeen	39.3
'86PK1330-001.00'	GRINcore_2009_Lab_Aberdeen	28.8
'91ARS318'	GRINcore_2009_Lab_Aberdeen	44.2
'FESTIVAL'	GRINcore_2009_Lab_Aberdeen	45.9
'FORBY'	GRINcore_2009_Lab_Aberdeen	45.5
'NSGC531'	GRINcore_2009_Lab_Aberdeen	40.4
'VEERY_S'	GRINcore_2009_Lab_Aberdeen	43.6
'91IBRST-12'	GRINcore_2009_Lab_Aberdeen	41
'KM720-92'	GRINcore_2009_Lab_Aberdeen	37.4
'KM780-92'	GRINcore_2009_Lab_Aberdeen	38.7
'KM783-92'	GRINcore_2009_Lab_Aberdeen	44.9
'KM803-92'	GRINcore_2009_Lab_Aberdeen	47.8
'KM669-92'	GRINcore_2009_Lab_Aberdeen	44.2
'KM670/2-92'	GRINcore_2009_Lab_Aberdeen	32.3
'15023'	GRINcore_2009_Lab_Aberdeen	39.6
'15037'	GRINcore_2009_Lab_Aberdeen	40
'15039'	GRINcore_2009_Lab_Aberdeen	36.9
'15040'	GRINcore_2009_Lab_Aberdeen	41
'15067'	GRINcore_2009_Lab_Aberdeen	44.6
'1097'	GRINcore_2009_Lab_Aberdeen	46.3
'1133'	GRINcore_2009_Lab_Aberdeen	37.4
